	C_1_8_siA1	C_1_8_siA2	C_1_8_siA3	C_1_8_siC1	C_1_8_siC2	C_1_8_siC3	C_4_2_siA1	C_4_2_siA2	C_4_2_siA3	C_4_2_siC1	C_4_2_siC2	C_4_2_siC3	C_Ctrl_siA1	C_Ctrl_siA2	C_Ctrl_siA3	C_Ctrl_siC1	C_Ctrl_siC2	C_Ctrl_siC3	P_siA1	P_siA2	P_siA3	P_siC1	P_siC2	P_siC3
ENSG00000186967.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186970.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186971.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186973.11	0	0	0.33356189252345	0	0.292587266563924	0	0	0	0	0.944661070957983	0.597247123524967	0	0	0	0	0	0	0.601503542783846	0	0.811705414931788	0	0.289113929558692	0.794091253230124	0
ENSG00000186976.15	0.625043650129779	0.635401910676861	0.612161459518631	0.46379412888784	0.642560330059513	0.711300955706232	1.047180052258	1.07594320100116	0.640873811396237	0.862368959020051	1.14042426381916	0.766673179604477	0.655268583261028	0.713345791887039	0.777984836353294	0.509557154554961	0.716992457636271	0.623497642578112	0.144859516221312	0	0	0.079896472992426	0	0
ENSG00000186977.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186980.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000186994.12	0.246773915758107	0.299782005353136	0.405745055052312	0.379278786728778	0.650298793968948	0.373487109438462	0.283598478405627	0.922012604469651	1.11362539895682	1.21617888914278	0.654718865256437	0.344671403205785	0.866378528732091	0.576370067620449	0.617169481311124	0.587724360330741	0.296159985108304	0.738358702064443	0.901578842679667	1.48420236680862	1.18101424233631	1.09416218841204	1.34976645351275	1.71255227887511
ENSG00000186998.16	3.02923654952711	3.14633128178425	2.41335352290891	3.53564101275658	3.43406246438006	2.21419900837691	3.91813139520395	4.34578860501583	2.4645370762487	2.78333906550921	2.89778829397369	3.4848316832046	1.89712358390312	2.18211228536117	2.34951175584452	1.97921322396576	3.4781320734464	2.85476102267025	0	0	0	0	0	0.0366969951877866
ENSG00000187003.7	0	0	0	0	0	0	0	0	0.0563776020519523	0	0	0	0	0	0.0511304216101512	0	0	0	0	0	0	0	0	0
ENSG00000187005.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187010.21	0	0	0	0.026631759364425	0	0	0	0	0	0.020060685126446	0	0	0.13022412280374	0	0.0490628076616504	0	0.0516104528593454	0	0	0.0254318603773472	0	0	0.0921869010194974	0
ENSG00000187012.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000187013.4	0	0.0497697565851237	0	0	0.0977322005041412	0.093911682047896	0	0.167711147924633	0.109267870899869	0.0405572961335621	0.04679824862459	0.11459794585338	0.0491792024500311	0.199103930523878	0.0495467570607815	0	0.126865721923482	0.150196927246485	0	0.102293944151857	0.0888309314010105	0.109319830443866	0.100345098537629	0.206890837622426
ENSG00000187017.18	4.63766565565771	4.54443370449101	7.12263361217179	6.15266546274795	6.27572018712685	6.87703078647445	4.52044695022196	5.14333904203413	3.25921642379932	4.13543722708572	4.05030988009298	6.60451207622633	6.08105232407945	6.47720893149554	5.73388545418074	6.01123105285507	8.02806110017652	9.44935160131748	39.7115453206588	39.2795222638723	33.9930902792602	39.0411931913482	41.0503805269825	32.029019858239
ENSG00000187021.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
